,GDP: Gross domestic product(million current US$),"GDP growth rate(annual %, const. 2010 prices)",GDP per capita(current US$),Economy: Agriculture(% of Gross Value Added),Economy: Industry(% of Gross Value Added),Economy: Services and other activity(% of GVA),Employment: Agriculture(% of employed),Employment: Industry(% of employed),Employment: Services(% employed),Unemployment(% of labour force),Labour force participation(female/male pop. %),CPI: Consumer Price Index(2010=100),Agricultural production index(2004-2006=100),International trade: Exports(million current US$),International trade: Imports(million current US$),International trade: Balance(million current US$),"Balance of payments, current account(million US$)",Population growth rate(average annual %),Urban population(% of total population),Urban population growth rate(average annual %),"Fertility rate, total(live births per woman)","Life expectancy at birth(females/males, years)","Population age distribution(0-14/60+ years old, %)",International migrant stock(000/% of total pop.),Refugees and others of concern to UNHCR(000),Infant mortality rate(per 1 000 live births),Health: Current expenditure(% of GDP),Health: Physicians(per 1 000 pop.),Education: Government expenditure(% of GDP),Education: Primary gross enrol. ratio(f/m per 100 pop.),Education: Secondary gross enrol. ratio(f/m per 100 pop.),Education: Tertiary gross enrol. ratio(f/m per 100 pop.),Intentional homicide rate(per 100 000 pop.),Seats held by women in national parliaments(%),Individuals using the Internet(per 100 inhabitants),Threatened species(number),Forested area(% of land area),CO2 emission estimates(million tons/tons per capita),"Energy production, primary(Petajoules)",Energy supply per capita(Gigajoules),Important sites for terrestrial biodiversity protected(%),Net Official Development Assist. received(% of GNI),Index of industrial production(2005=100),Research & Development expenditure(% of GDP),Tourist/visitor arrivals at national borders(000),Net Official Development Assist. disbursed(% of GNI)
Saint Vincent & Grenadines,780.0,0.7,7098.8,8.3,17.8,74.0,5.8,12.6,81.6,18.2,57.3/79.0,107.0,110.0,42.0,378.0,-336.0,-135.0,0.2,52.6,0.8,2.0,74.5/69.6,22.2/14.3,4.6/4.2,,17.4,3.6,,5.8,101.9/103.8,106.9/111.7,,36.5,13.0,65.6,61.0,69.2,0.2/1.9,0.0,30.0,42.7,1.49,,,76.0,
Samoa,856.0,-0.4,4355.7,10.8,21.9,68.8,5.8,14.2,80.0,8.0,23.6/38.5,112.0,118.0,30.0,381.0,-351.0,-3.0,0.8,18.1,-0.4,4.2,74.5/70.2,37.9/7.8,4.9/2.5,,15.1,5.5,0.3,4.1,108.8/108.5,88.6/80.3,... / ...,3.1,10.0,33.6,95.0,60.4,0.2/1.0,1.0,24.0,36.5,15.88,,,146.0,
San Marino,1690.0,1.9,50587.6,,35.2,64.8,,,,6.6,... / ...,111.0,,,,,,1.2,97.4,1.4,,86.4/81.7,15.0/24.1,5.2/15.7,,,6.4,6.1,2.4,92.6/93.9,95.9/93.5,69.9/50.5,0.0,25.0,60.2,1.0,0.0,,,,,,,,78.0,
Sao Tome and Principe,393.0,3.9,1921.3,11.7,15.4,72.9,15.2,13.8,70.9,13.5,43.2/76.1,185.0,109.0,12.0,164.0,-152.0,-62.0,2.0,73.6,3.8,4.6,70.8/66.2,42.1/4.9,2.3/1.1,,32.1,6.0,0.3,4.9,108.1/112.4,96.0/83.5,13.3/12.8,3.4,14.6,29.9,103.0,55.8,0.1/0.6,1.0,14.0,58.0,10.25,,,29.0,
Saudi Arabia,683827.0,-0.7,20760.9,2.5,45.1,52.4,6.2,22.6,71.2,5.3,23.5/79.5,119.0,106.0,308998.0,129442.0,179556.0,72337.0,2.9,84.1,3.1,2.7,76.0/73.1,24.9/5.7,12185.3/37.0,71.2,8.7,5.7,2.4,,115.2/117.3,101.5/131.3,68.5/69.4,1.5,19.9,82.1,139.0,0.5,601.0/19.5,28132.0,267.0,21.0,,135.0,0.8,16109.0,
Senegal,21126.0,6.7,1332.8,16.5,25.6,57.9,52.1,20.4,27.5,4.8,35.3/58.5,109.0,145.0,3419.0,8011.0,-4592.0,-1522.0,2.8,47.7,3.9,5.0,67.5/63.8,42.8/4.8,265.6/1.7,18.1,38.3,5.6,0.1,6.2,90.4/78.0,47.4/43.4,8.5/13.9,7.4,41.8,29.6,133.0,42.8,8.9/0.6,66.0,12.0,41.2,5.76,102.0,0.8,1365.0,
Serbia,41590.0,2.0,5912.1,7.3,31.4,61.3,18.2,24.4,57.3,12.2,46.6/61.8,141.0,105.0,19226.0,25882.0,-6656.0,-2630.0,-0.3,56.3,-0.1,1.5,77.4/72.1,15.5/25.2,801.9/9.1,250.7,6.1,9.1,3.1,3.9,100.4/100.3,95.9/95.1,76.9/56.7,1.4,37.6,70.3,78.0,31.1,37.7/4.3,446.0,90.0,30.2,4.38,96.0,0.9,1497.0,
Seychelles,1487.0,6.3,15692.7,2.4,13.7,83.9,3.6,17.9,78.2,4.1,61.9/68.3,128.0,99.0,758.0,2186.0,-1428.0,-269.0,0.8,57.1,1.3,2.4,77.0/69.6,23.7/12.5,12.9/13.6,,12.4,3.9,0.9,4.4,110.3/108.7,94.8/88.6,31.5/13.8,12.7,21.2,58.8,443.0,88.4,0.5/5.2,0.0,90.0,19.7,1.37,,0.2,350.0,
Sierra Leone,3740.0,3.8,494.8,61.6,5.3,33.1,59.0,6.3,34.7,4.2,57.6/58.3,205.0,195.0,20.0,985.0,-965.0,-535.0,2.2,42.5,3.3,4.8,52.3/50.5,40.7/4.6,95.2/1.3,0.7,97.1,16.5,,4.6,121.8/120.0,39.8/41.9,... / ...,1.7,12.3,13.2,192.0,43.1,1.3/0.2,54.0,9.0,80.3,14.68,,,55.0,
Singapore,323901.0,3.6,56736.8,,24.8,75.2,0.1,16.1,83.8,1.7,60.4/76.1,114.0,115.0,412522.0,370541.0,41981.0,63910.0,1.7,100.0,1.7,1.2,84.5/80.1,12.3/19.9,2623.4/46.0,,2.1,4.5,2.3,2.9,100.7/100.9,107.7/108.6,90.6/77.9,0.3,23.0,84.4,307.0,23.1,56.4/10.2,28.0,162.0,21.1,,,2.2,13903.0,
Sint Maarten (Dutch part),1072.0,-8.4,27115.5,0.1,9.2,90.7,,,,,,,,,,,63.0,3.1,100.0,3.1,,77.1/69.2,21.0/10.4,28.3/70.4,,,,,,,,,,,,55.0,,0.7/19.5,,302.0,6.4,,,,402.0,
Slovakia,95618.0,3.2,17552.1,3.4,34.9,61.7,2.8,35.8,61.4,7.0,52.5/67.0,112.0,98.0,93226.0,92983.0,244.0,-2614.0,0.1,53.7,-0.2,1.4,79.8/72.5,15.5/22.8,184.6/3.4,2.5,5.4,7.1,2.5,4.6,97.3/98.4,91.7/90.8,57.9/38.1,1.0,20.0,81.6,83.0,40.4,30.7/5.6,266.0,126.0,83.6,,158.0,0.8,2162.0,0.13
Slovenia,48456.0,4.9,23296.4,2.0,32.8,65.2,4.7,31.1,64.2,6.0,52.9/62.0,109.0,88.0,36400.0,36100.0,299.0,3785.0,0.3,54.8,0.7,1.6,83.1/77.1,15.1/27.2,244.8/11.8,1.0,2.2,8.5,3.0,4.9,99.5/99.1,116.4/114.3,91.7/64.2,0.5,24.4,78.9,148.0,62.0,12.8/6.2,144.0,134.0,88.7,,104.0,2.0,3586.0,0.16
Solomon Islands,1212.0,3.5,1982.3,25.6,15.2,59.2,69.3,9.8,20.9,2.1,62.4/80.2,127.0,113.0,626.0,495.0,131.0,-51.0,2.7,24.2,4.3,4.4,73.3/69.8,40.1/5.5,2.5/0.4,,20.2,5.2,0.2,,113.9/114.8,47.0/49.5,,,2.0,11.9,242.0,77.9,0.2/0.4,3.0,9.0,9.5,15.26,,,26.0,
Somalia,1535.0,1.8,104.1,60.2,7.4,32.5,86.2,7.6,6.2,5.9,19.2/74.4,,108.0,1087.0,543.0,545.0,,2.7,45.6,4.8,6.6,56.5/53.3,46.4/4.5,44.9/0.3,2940.6,79.4,,,,... / ...,... / ...,,4.3,24.4,2.0,186.0,10.0,0.6/0.1,136.0,10.0,0.0,23.99,,,,
South Africa,348872.0,1.3,6151.1,2.6,28.9,68.6,5.4,23.4,71.3,27.6,48.8/62.6,152.0,117.0,94725.0,95478.0,-753.0,-13381.0,1.6,66.9,2.2,2.6,64.2/57.8,29.0/8.4,4036.7/7.1,273.5,32.9,8.1,0.9,6.1,100.3/104.2,104.9/96.0,24.0/17.1,34.0,42.8,56.2,603.0,7.6,489.8/9.1,6858.0,112.0,37.7,0.3,,0.8,10285.0,
South Sudan,5694.0,1.3,452.8,3.3,50.6,46.2,65.4,19.6,14.9,11.5,71.9/74.3,4584.0,,1417.0,1048.0,369.0,455.0,2.4,19.9,4.4,5.2,57.5/54.6,41.6/5.1,845.2/6.7,2159.2,65.8,,,1.0,55.1/77.8,6.9/12.8,,13.9,28.5,8.0,57.0,,1.5/0.1,257.0,3.0,33.6,64.36,,,,
Spain,1314314.0,3.0,28353.6,3.0,24.1,72.9,4.0,19.1,76.9,13.4,51.4/62.8,110.0,104.0,348943.0,389760.0,-40817.0,12924.0,-0.1,80.6,0.1,1.3,85.3/79.6,14.6/25.7,5947.1/12.8,67.9,2.9,9.0,4.1,4.3,104.5/103.3,128.4/127.5,99.2/83.5,0.6,41.1,84.6,687.0,36.9,234.0/5.1,1391.0,107.0,56.3,,76.0,1.2,81786.0,0.19
Sri Lanka,87357.0,3.3,4184.4,8.5,30.2,61.4,25.6,25.5,48.9,4.2,34.8/71.9,125.0,128.0,13365.0,22592.0,-9227.0,-2309.0,0.6,18.6,0.5,2.2,79.3/72.4,24.0/15.9,40.0/0.2,42.0,8.8,3.9,1.0,2.8,101.1/102.6,100.5/95.5,22.8/15.1,2.5,5.3,34.1,599.0,32.9,18.4/0.9,169.0,22.0,49.8,0.35,,0.1,2116.0,
State of Palestine,14498.0,3.1,2946.3,3.4,22.9,73.8,9.5,29.5,61.0,26.4,19.5/71.5,111.0,87.0,1087.0,5661.0,-4574.0,-1659.0,2.2,76.4,3.1,4.2,74.9/71.4,38.6/4.8,253.7/5.2,,19.3,,,5.3,95.1/95.4,89.2/81.2,52.5/32.4,0.7,,65.2,36.0,1.5,2.8/0.6,10.0,16.0,2.5,12.8,130.0,0.5,503.0,
Sudan,120266.0,3.2,2967.1,32.0,20.7,47.2,53.0,19.2,27.8,12.7,24.5/70.2,350.0,,4908.0,12578.0,-7669.0,-4679.0,2.4,34.9,2.8,4.8,65.5/62.1,40.2/5.6,735.8/1.8,2927.3,47.8,5.7,0.4,,75.1/79.5,47.3/46.5,17.1/16.9,,27.6,30.9,148.0,,15.4/0.4,728.0,20.0,25.0,0.78,,,813.0,
Suriname,3807.0,-0.7,6757.4,9.9,30.9,59.3,2.6,24.6,72.9,8.0,39.3/64.0,283.0,146.0,2025.0,1150.0,875.0,-189.0,1.1,66.1,0.9,2.6,74.3/67.8,26.9/10.5,47.7/8.5,0.1,20.3,6.1,1.2,,115.9/115.8,89.7/68.1,... / ...,,29.4,48.9,87.0,98.3,2.0/3.7,39.0,52.0,51.2,0.64,,,278.0,
Sweden,535607.0,2.1,54043.3,1.2,25.1,73.7,1.8,17.9,80.3,6.3,61.2/67.6,109.0,100.0,165959.0,170107.0,-4148.0,9458.0,0.8,87.7,1.1,1.9,83.8/80.0,17.6/25.8,1747.7/17.6,321.3,2.4,10.9,5.4,7.6,126.5/123.3,153.3/137.1,77.5/50.3,1.1,47.3,96.4,59.0,68.9,43.4/4.5,1446.0,208.0,58.8,,88.0,3.3,19945.0,1.02
Switzerland,678938.0,1.6,80101.2,0.7,25.5,73.8,3.4,20.4,76.2,4.7,62.6/73.8,99.0,101.0,310524.0,278666.0,31859.0,72186.0,1.2,73.8,1.2,1.5,84.8/80.5,14.9/24.8,2506.4/29.6,117.8,3.9,12.2,4.2,5.1,104.0/104.8,100.3/104.2,58.4/57.3,0.5,32.5,93.7,80.0,31.8,35.3/4.3,483.0,118.0,35.2,,130.0,3.4,9889.0,0.46
Syrian Arab Republic,15183.0,1.9,831.1,20.6,30.1,49.3,22.8,33.3,43.9,14.9,11.7/69.8,663.0,79.0,712.0,1319.0,-607.0,,-3.4,54.8,-3.6,3.1,76.3/64.4,31.1/7.3,1013.8/5.5,7187.7,17.9,3.6,1.2,,74.7/77.3,49.3/49.3,42.7/36.0,,13.2,34.3,139.0,2.7,30.7/1.7,177.0,23.0,1.1,,,,5070.0,
Tajikistan,7146.0,7.1,801.0,23.6,29.6,46.8,50.7,16.7,32.6,10.3,27.7/59.9,166.0,159.0,1573.0,2774.0,-1201.0,-378.0,2.3,27.3,2.4,3.6,71.8/67.2,37.1/5.5,273.3/3.1,10.2,34.1,7.0,1.7,5.2,98.1/99.5,82.7/92.0,26.4/35.2,1.6,19.0,22.0,47.0,3.0,5.2/0.6,136.0,19.0,21.0,3.84,145.0,0.1,431.0,
