,GDP: Gross domestic product(million current US$),"GDP growth rate(annual %, const. 2010 prices)",GDP per capita(current US$),Economy: Agriculture(% of Gross Value Added),Economy: Industry(% of Gross Value Added),Economy: Services and other activity(% of GVA),Employment: Agriculture(% of employed),Employment: Industry(% of employed),Employment: Services(% employed),Unemployment(% of labour force),Labour force participation(female/male pop. %),CPI: Consumer Price Index(2010=100),Agricultural production index(2004-2006=100),International trade: Exports(million current US$),International trade: Imports(million current US$),International trade: Balance(million current US$),"Balance of payments, current account(million US$)",Population growth rate(average annual %),Urban population(% of total population),Urban population growth rate(average annual %),"Fertility rate, total(live births per woman)","Life expectancy at birth(females/males, years)","Population age distribution(0-14/60+ years old, %)",International migrant stock(000/% of total pop.),Refugees and others of concern to UNHCR(000),Infant mortality rate(per 1 000 live births),Health: Current expenditure(% of GDP),Health: Physicians(per 1 000 pop.),Education: Government expenditure(% of GDP),Education: Primary gross enrol. ratio(f/m per 100 pop.),Education: Secondary gross enrol. ratio(f/m per 100 pop.),Education: Tertiary gross enrol. ratio(f/m per 100 pop.),Intentional homicide rate(per 100 000 pop.),Seats held by women in national parliaments(%),Individuals using the Internet(per 100 inhabitants),Threatened species(number),Forested area(% of land area),CO2 emission estimates(million tons/tons per capita),"Energy production, primary(Petajoules)",Energy supply per capita(Gigajoules),Important sites for terrestrial biodiversity protected(%),Net Official Development Assist. received(% of GNI),Index of industrial production(2005=100),Research & Development expenditure(% of GDP),Tourist/visitor arrivals at national borders(000),Net Official Development Assist. disbursed(% of GNI)
Afghanistan,21993.0,2.5,619.0,23.9,22.0,54.1,61.7,6.8,31.5,8.8,48.8/82.1,145.0,125.0,822.0,8345.0,-7523.0,-4227.0,3.3,25.8,4.0,5.4,63.8/60.9,42.5/4.2,133.6/0.4,2537.1,60.1,10.2,0.3,3.9,84.2/122.7,39.6/69.1,3.6/14.6,6.3,27.7,11.4,40.0,2.1,9.8/0.3,70.0,4.0,6.1,18.1,,,,
Albania,13039.0,3.8,4450.0,21.7,24.2,54.1,37.8,18.8,43.4,15.1,47.1/64.8,117.0,143.0,2876.0,5942.0,-3066.0,-1008.0,-0.4,61.2,1.8,1.7,80.0/75.2,17.4/20.5,52.5/1.8,4.0,9.2,6.7,1.2,4.0,108.6/111.5,93.1/99.0,70.8/44.4,2.7,29.3,71.8,136.0,28.1,5.7/2.0,82.0,31.0,67.0,1.2,355.0,,4643.0,
Algeria,167555.0,1.4,4055.2,12.7,38.6,48.6,12.6,46.7,40.7,9.9,14.9/67.2,148.0,151.0,41347.0,49214.0,-7867.0,-22059.0,2.0,73.2,2.9,3.0,76.7/74.4,30.6/9.7,248.6/0.6,185.8,24.9,6.6,1.8,,108.8/114.5,101.5/97.8,57.3/38.5,1.4,25.8,47.7,143.0,0.8,145.4/3.7,6283.0,54.0,38.8,0.11,104.0,,2451.0,
American Samoa,,,,,,,,,,,... / ...,,116.0,,,,,,87.1,-0.1,2.6,77.8/71.1,33.3/9.0,23.6/42.3,,9.6,,,,,,,5.4,,,95.0,87.5,,,,61.5,,,,20.0,
Andorra,3013.0,1.7,39152.8,0.6,11.4,88.1,,,,,,106.0,,129.0,1623.0,-1494.0,,-1.6,88.0,-1.7,1.2,,14.4/19.0,41.0/53.3,,,10.4,3.3,3.2,,,,1.2,32.1,98.9,14.0,34.0,0.5/6.4,1.0,116.0,26.1,,,,3003.0,
Angola,126506.0,-2.5,4247.4,8.8,43.6,47.5,50.0,8.7,41.2,8.9,75.4/80.0,337.0,192.0,38953.0,18019.0,20935.0,7502.0,3.5,66.2,4.7,6.0,60.5/55.2,46.6/3.6,638.5/2.1,68.1,78.2,2.9,0.2,,105.2/121.6,39.3/62.0,8.5/10.4,4.8,30.0,14.3,158.0,46.3,34.8/1.4,4101.0,23.0,28.4,0.19,,,261.0,
Anguilla,281.0,-7.7,18860.7,2.4,11.0,86.6,,,,,... / ...,106.0,,5.0,283.0,-278.0,-62.0,1.2,100.0,1.2,,... / ...,23.3/7.6,5.6/37.4,,,,,,,,,27.7,,81.6,57.0,61.1,0.1/9.8,0.0,149.0,0.2,,,,68.0,
Antigua and Barbuda,1510.0,3.0,14803.0,2.0,21.3,76.8,,,,,... / ...,112.0,70.0,46.0,829.0,-783.0,34.0,1.2,24.5,0.1,2.0,77.4/74.8,22.0/13.6,28.6/28.1,,6.8,4.3,2.8,,86.1/89.2,90.6/94.4,29.2/14.1,10.3,11.1,76.0,59.0,22.3,0.5/5.8,0.0,79.0,18.4,0.66,,,247.0,
Argentina,637486.0,2.9,14399.6,6.7,25.8,67.5,0.5,23.1,76.4,7.9,48.8/72.7,152.0,131.0,66319.0,66306.0,13.0,-28003.0,1.0,92.0,1.2,2.3,79.0/72.2,24.6/15.4,2164.5/4.9,90.9,12.1,7.5,4.0,5.6,109.2/109.7,110.4/105.7,111.6/67.2,5.9,38.8,75.8,278.0,9.8,204.0/4.7,3181.0,83.0,33.2,0.0,,0.6,6720.0,
Armenia,11537.0,7.5,3936.8,16.3,27.6,56.1,32.6,16.2,51.2,18.4,49.7/69.9,127.0,127.0,2382.0,4796.0,-2414.0,-1131.0,0.3,63.2,0.2,1.7,77.0/70.6,20.8/17.9,190.7/6.5,18.9,13.2,9.9,2.9,2.8,94.3/94.0,88.4/84.0,58.7/46.1,3.0,24.2,69.7,117.0,11.7,5.5/1.8,44.0,45.0,30.5,2.13,,0.2,1495.0,
Aruba,2701.0,1.3,25655.1,0.5,15.4,84.2,0.6,14.0,85.1,,58.8/69.6,106.0,,67.0,1262.0,-1195.0,141.0,0.5,43.5,0.5,1.8,77.8/72.9,17.6/21.1,36.4/34.5,0.3,14.8,,,6.1,115.2/118.9,112.1/110.2,20.7/10.7,1.9,,97.2,37.0,2.3,0.9/8.4,1.0,120.0,47.8,,,,1070.0,
Australia,1408676.0,2.9,57613.2,2.7,24.7,72.6,2.5,18.8,78.7,5.5,59.6/70.3,118.0,104.0,255727.0,234678.0,21049.0,-30508.0,1.5,86.1,1.6,1.9,84.4/80.3,19.3/21.4,7035.6/28.8,102.3,3.6,9.3,3.6,5.3,100.9/100.9,141.8/159.8,134.1/94.4,0.9,30.0,86.5,1010.0,16.3,361.3/15.3,16322.0,226.0,54.3,,123.0,1.9,8815.0,0.23
Austria,416836.0,2.6,47717.7,1.3,28.3,70.3,4.2,25.3,70.6,5.4,54.7/65.6,116.0,100.0,181666.0,188616.0,-6951.0,10801.0,0.6,58.5,0.7,1.4,83.5/78.4,14.4/25.3,1660.3/19.0,169.1,3.3,10.4,5.1,5.5,103.7/104.2,99.5/104.1,93.6/79.4,0.7,37.2,87.9,128.0,46.9,58.7/6.9,517.0,160.0,66.3,,119.0,3.1,29460.0,0.3
Azerbaijan,40749.0,0.1,4146.4,6.0,53.2,40.8,37.3,13.8,48.8,5.0,62.9/69.4,153.0,141.0,20555.0,11318.0,9236.0,6051.0,1.3,56.0,1.7,2.1,74.6/68.6,23.4/11.1,259.2/2.6,617.7,31.4,6.9,3.4,2.9,104.2/102.5,,29.0/25.3,2.1,16.8,79.0,100.0,14.1,37.5/3.9,2427.0,61.0,39.4,0.3,188.0,0.2,2454.0,
Bahamas,11792.0,1.8,29824.7,0.9,13.1,85.9,4.0,11.7,84.3,11.4,67.5/82.0,113.0,131.0,482.0,3743.0,-3262.0,-1981.0,1.1,83.1,1.5,1.8,74.8/70.1,22.1/11.7,61.8/15.6,,8.0,6.4,1.9,,97.9/92.9,93.1/87.9,,28.4,12.8,85.0,89.0,51.4,2.4/6.3,0.0,66.0,24.7,,,,1439.0,
Bahrain,35326.0,3.8,23667.6,0.3,41.8,57.9,1.1,36.1,62.9,1.2,44.6/87.4,118.0,198.0,18493.0,19019.0,-526.0,-1600.0,2.0,89.4,2.1,2.1,77.5/75.6,18.7/5.1,722.6/48.4,0.4,6.9,4.9,0.9,2.3,101.1/100.8,103.3/102.3,63.1/32.3,0.5,15.0,95.9,42.0,0.8,31.3/23.0,940.0,391.0,27.5,,134.0,0.1,11370.0,
Bangladesh,245633.0,7.3,1491.7,14.2,29.3,56.5,36.4,21.6,42.0,4.4,36.1/81.2,161.0,144.0,32777.0,56216.0,-23438.0,-7593.0,1.1,37.4,3.5,2.2,72.4/69.4,27.2/7.7,1500.9/0.9,943.4,33.2,2.4,0.5,1.5,115.1/107.3,72.7/62.1,14.5/20.6,2.5,20.7,18.0,156.0,11.0,73.2/0.5,1597.0,11.0,48.0,1.44,206.0,,125.0,
Barbados,4713.0,0.9,16494.2,1.5,15.4,83.0,2.8,19.1,78.1,9.4,61.5/69.2,184.0,85.0,458.0,1594.0,-1136.0,-248.0,0.2,31.2,-0.1,1.6,80.0/77.1,17.1/22.5,34.7/12.1,,11.5,7.0,2.5,4.7,90.9/92.6,108.8/104.5,90.6/40.3,10.9,20.0,81.8,58.0,14.7,1.3/4.5,3.0,59.0,2.1,,80.0,,664.0,
Belarus,54441.0,2.4,5749.8,8.9,37.0,54.1,9.4,30.8,59.8,0.5,57.8/70.0,480.0,120.0,33461.0,38202.0,-4741.0,-266.0,,79.0,0.7,1.6,78.0/66.8,17.0/22.2,1078.7/11.4,8.6,3.4,6.3,4.1,4.8,101.4/101.8,102.1/103.7,96.4/77.5,3.6,34.6,74.4,26.0,42.6,63.5/6.7,166.0,112.0,49.1,-0.48,163.0,0.5,11060.0,
Belgium,494764.0,1.7,43288.9,0.7,22.0,77.3,1.2,21.2,77.6,6.4,47.9/58.6,115.0,101.0,468529.0,450888.0,17641.0,-6819.0,0.6,98.0,0.7,1.8,83.0/78.0,17.1/25.3,1268.4/11.1,83.5,3.5,10.0,3.3,6.6,103.3/103.4,170.4/152.1,86.0/66.1,1.9,38.0,87.7,40.0,22.6,93.4/8.3,637.0,208.0,80.8,,121.0,2.5,8385.0,0.45
Belize,1902.0,0.5,5077.0,13.9,16.9,69.1,15.3,15.3,69.5,9.3,53.6/81.5,106.0,97.0,179.0,958.0,-780.0,-155.0,2.3,45.9,2.3,2.6,76.0/71.1,29.7/7.4,60.0/16.0,6.2,15.0,6.1,1.1,7.1,110.3/116.1,86.2/82.2,30.5/18.9,37.6,9.4,47.1,131.0,59.7,0.5/1.4,8.0,37.0,46.0,2.02,,,427.0,
Benin,9236.0,5.0,826.5,27.0,25.7,47.3,41.5,18.7,39.8,2.3,69.3/73.3,110.0,153.0,287.0,3132.0,-2845.0,-927.0,2.8,47.9,4.0,5.2,61.4/58.5,42.2/5.0,253.3/2.3,1.4,67.7,3.9,0.2,4.0,122.3/130.8,50.7/67.1,7.6/18.2,6.2,7.2,14.1,99.0,37.8,6.3/0.6,105.0,17.0,77.4,7.3,148.0,,281.0,
Bermuda,6269.0,2.5,102192.1,0.7,5.6,93.6,1.6,10.3,87.6,6.7,72.6/80.0,148.0,112.0,23.0,1070.0,-1047.0,940.0,-0.6,100.0,-0.6,1.5,85.1/77.5,14.8/24.9,19.0/30.9,,,,,1.5,89.4/91.3,75.5/67.7,34.1/14.7,13.0,,98.4,75.0,18.5,0.6/9.2,1.0,147.0,16.2,,,0.2,270.0,
Bhutan,2562.0,6.0,3172.8,17.5,43.2,39.3,54.8,9.7,35.5,2.4,58.4/74.6,163.0,102.0,622.0,1052.0,-430.0,-498.0,1.2,41.6,3.7,2.1,69.6/69.2,25.3/8.8,52.3/6.5,,30.5,3.5,0.4,7.1,92.6/92.6,90.3/82.0,8.9/12.1,1.1,14.9,48.1,99.0,72.5,1.0/1.3,79.0,83.0,42.9,5.1,,,255.0,
Bolivia (Plurin. State of),37509.0,4.2,3394.0,13.4,30.4,56.2,26.0,22.5,51.4,3.2,56.6/79.4,146.0,147.0,8965.0,9994.0,-1030.0,-1990.0,1.6,69.8,2.1,3.0,71.9/66.7,30.6/10.2,148.8/1.3,1.1,32.4,6.9,1.6,7.3,97.6/99.6,90.4/93.2,,6.3,53.1,43.8,243.0,50.3,20.4/1.9,921.0,34.0,56.2,2.61,,,1134.0,
"Bonaire, St. Eustatius & Saba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,0.3/13.3,0.0,214.0,39.3,,,,,
Bosnia and Herzegovina,18169.0,3.0,5180.8,6.9,27.5,65.6,18.1,32.1,49.8,26.5,35.5/58.5,104.0,118.0,7124.0,11529.0,-4405.0,-829.0,-1.5,48.6,-0.3,1.3,78.9/74.0,14.7/24.5,37.1/1.1,152.8,6.9,9.2,2.0,,,,,1.3,21.4,69.5,95.0,42.7,22.2/5.8,199.0,80.0,12.0,2.43,143.0,0.2,923.0,
Botswana,17407.0,2.4,7595.6,2.2,33.3,64.5,25.2,13.7,61.1,17.8,66.5/78.8,146.0,120.0,5803.0,6040.0,-236.0,345.0,1.3,70.2,3.3,3.0,67.0/61.8,33.8/6.9,166.4/7.3,2.4,35.5,5.5,0.4,,103.5/107.2,... / ...,27.2/18.9,,9.5,41.4,33.0,18.9,7.0/3.2,51.0,41.0,47.1,0.6,,0.5,1574.0,
Brazil,2055512.0,1.0,9821.4,5.2,22.6,72.2,10.0,20.9,69.1,11.6,53.9/74.3,161.0,136.0,236466.0,185357.0,51108.0,-14509.0,0.9,86.8,1.2,1.8,78.0/70.7,21.0/13.6,735.6/0.4,143.9,15.8,11.8,2.1,6.2,112.4/115.4,103.9/99.2,58.8/42.5,29.5,15.0,67.5,1039.0,58.9,529.8/2.6,12183.0,59.0,47.6,0.01,111.0,1.3,6589.0,
British Virgin Islands,996.0,0.5,31916.8,0.2,6.5,93.3,,,,,,,103.0,0.0,341.0,-341.0,,2.0,48.1,2.8,,... / ...,... / ...,20.0/64.0,,,,,6.3,,,,,,37.6,82.0,24.1,0.2/6.0,0.0,97.0,9.4,,,,335.0,
Brunei Darussalam,12128.0,1.3,28290.8,1.1,58.7,40.2,0.5,17.1,82.4,6.8,58.1/71.3,99.0,169.0,6200.0,3233.0,2967.0,1068.0,1.3,77.9,1.9,2.0,76.2/73.8,22.6/9.0,108.6/25.3,20.5,8.8,2.3,1.8,4.4,104.3/105.3,93.0/91.5,40.3/25.9,0.5,9.1,94.9,226.0,72.1,9.1/21.8,633.0,293.0,62.9,,79.0,,259.0,
Bulgaria,58222.0,3.8,8218.2,4.7,28.4,66.9,5.9,28.8,65.3,4.4,49.4/61.5,111.0,114.0,33332.0,37970.0,-4638.0,2959.0,-0.6,75.3,-0.2,1.5,77.8/70.8,14.7/28.0,153.8/2.2,20.9,8.3,8.2,4.0,4.1,94.3/95.3,98.3/101.4,79.3/63.7,1.1,25.8,63.4,115.0,35.4,42.4/5.9,473.0,106.0,95.6,,105.0,0.8,8883.0,0.11
Burkina Faso,12325.0,6.3,642.1,31.3,20.2,48.4,27.0,31.9,41.1,6.2,58.3/75.0,110.0,125.0,2527.0,4562.0,-2035.0,-894.0,3.0,30.0,5.2,5.6,59.3/58.0,44.7/3.9,708.9/3.7,41.2,64.7,6.8,0.1,4.2,92.9/94.4,37.6/38.6,4.1/7.9,0.4,13.4,15.9,33.0,19.3,2.8/0.1,128.0,9.0,71.8,7.14,,0.2,143.0,
Burundi,3155.0,,290.4,37.5,16.6,45.9,91.4,2.5,6.1,1.5,80.4/77.6,183.0,108.0,140.0,798.0,-658.0,-360.0,3.2,13.4,5.6,6.0,60.7/57.1,45.4/4.0,299.6/2.8,153.0,52.3,7.7,,4.3,126.2/126.1,50.9/49.7,3.7/8.7,6.0,36.4,5.6,141.0,10.9,0.4 / ~0.0,56.0,6.0,51.2,12.33,,0.1,299.0,
Cabo Verde,1773.0,4.0,3244.7,7.0,21.1,71.9,66.8,6.9,26.3,10.4,65.5/73.2,109.0,97.0,51.0,930.0,-880.0,-104.0,1.3,66.2,2.0,2.5,75.0/67.9,28.4/7.3,15.3/2.8,0.1,20.6,5.3,0.8,5.2,92.5/99.2,87.3/79.7,25.7/17.7,11.5,23.6,57.2,117.0,22.5,0.5/1.0,2.0,17.0,15.1,7.29,,0.1,668.0,
Cambodia,22121.0,7.0,1382.1,25.0,32.7,42.3,24.7,26.8,48.5,0.2,75.2/87.9,125.0,186.0,18682.0,17316.0,1366.0,-2773.0,1.6,23.8,3.4,2.7,69.6/65.5,31.1/7.4,76.3/0.5,0.1,30.0,6.1,0.2,1.9,106.5/109.1,... / ...,12.2/14.1,1.8,20.0,34.0,265.0,52.9,6.7/0.4,191.0,20.0,39.5,4.11,,0.1,5602.0,
Cameroon,34924.0,3.5,1451.9,15.7,27.5,56.8,61.2,9.3,29.5,4.2,71.0/81.3,116.0,175.0,2651.0,4453.0,-1802.0,-949.0,2.7,57.0,3.8,5.0,57.6/54.9,42.4/4.3,540.3/2.2,590.8,70.7,4.7,0.1,3.1,107.2/119.0,57.1/66.4,16.9/21.4,4.2,31.1,23.2,850.0,39.3,7.0/0.3,500.0,17.0,36.3,3.54,112.0,,994.0,
Canada,1647120.0,3.0,44973.5,1.7,27.4,70.9,1.9,19.3,78.8,5.9,60.7/69.4,115.0,113.0,451085.0,466895.0,-15811.0,-45323.0,1.1,81.5,1.1,1.6,83.8/79.6,15.8/24.3,7861.2/21.5,177.7,4.6,10.5,2.6,5.3,101.5/101.4,113.9/112.2,77.1/57.5,1.7,27.0,92.7,157.0,38.2,537.2/15.1,19547.0,318.0,25.7,,92.0,1.6,20798.0,0.26
Cayman Islands,4030.0,2.3,65472.4,0.4,7.6,92.0,0.8,15.5,83.6,6.3,80.6/85.6,105.0,103.0,13.0,1291.0,-1279.0,,1.5,100.0,1.5,,... / ...,18.3/6.7,24.4/39.6,0.1,,,,,,,,8.4,,81.1,77.0,52.9,0.5/9.2,,128.0,32.5,,,,418.0,
Central African Republic,1993.0,4.3,427.7,31.1,25.8,43.0,85.6,7.9,6.6,5.6,64.7/79.8,187.0,122.0,231.0,359.0,-128.0,,0.5,41.8,1.1,5.1,50.5/47.3,43.9/4.5,88.8/1.9,782.4,90.3,4.3,0.1,1.2,91.5/120.0,14.0/21.2,1.6/4.3,19.8,8.6,4.3,66.0,35.6,0.3/0.1,19.0,5.0,74.4,25.99,86.0,,120.0,
Chad,10717.0,-3.1,719.3,32.2,25.4,42.4,87.0,5.0,8.1,5.9,64.8/77.8,116.0,150.0,915.0,523.0,392.0,,3.3,23.3,3.8,6.3,53.7/50.9,46.8/3.9,489.7/3.3,618.9,84.1,4.5,,2.9,77.0/99.0,14.3/31.0,1.1/5.7,9.0,14.9,6.5,48.0,3.8,0.7 / ~0.0,347.0,6.0,70.6,6.58,65.0,0.3,87.0,
Channel Islands,,,,,,,19.7,29.6,50.6,9.2,49.4/65.1,,,,,,,0.7,30.9,0.5,1.6,84.1/79.8,15.1/23.6,83.1/50.3,,6.7,,,,,,,,,,,4.0,,,,,,,,,
Chile,277081.0,1.5,15346.7,4.2,32.8,63.0,9.2,22.7,68.2,7.1,51.1/74.2,118.0,114.0,75482.0,74187.0,1294.0,-9157.0,1.0,87.6,1.0,1.8,82.1/76.3,19.5/16.9,488.6/2.7,101.3,7.2,8.5,1.1,5.4,100.1/102.8,100.2/99.2,98.5/84.8,3.5,22.6,82.3,220.0,24.3,82.6/4.7,525.0,88.0,35.7,0.03,,0.4,6450.0,
China,12237782.0,6.9,8682.2,8.4,41.3,50.4,15.5,26.0,58.5,4.8,60.6/75.4,106.0,139.0,2528426.0,2215158.0,313268.0,49092.0,0.5,60.3,2.9,1.6,77.4/73.1,17.8/16.8,999.5/0.1,322.4,12.3,5.0,1.8,,102.6/101.6,95.9/94.2,56.2/46.4,0.6,24.9,54.3,1115.0,22.4,10291.9/7.5,94591.0,84.0,47.6,-0.01,,2.1,60740.0,
"China, Hong Kong SAR",341659.0,3.8,46390.3,0.1,7.6,92.3,0.2,12.8,87.0,2.9,53.8/67.5,131.0,59.0,569106.0,627327.0,-58221.0,15556.0,0.6,100.0,0.6,1.2,86.4/80.5,12.3/25.2,2883.1/39.1,0.1,1.6,,,3.3,105.8/107.8,102.0/106.7,77.5/70.1,0.4,,89.4,70.0,,46.2/6.4,,81.0,56.7,,,0.8,27884.0,
"China, Macao SAR",50361.0,9.1,80892.8,,6.8,93.2,0.5,19.6,79.8,2.0,65.2/76.4,140.0,90.0,1255.0,11394.0,-10139.0,16662.0,2.2,100.0,2.3,1.2,86.2/80.3,14.0/17.9,353.7/56.8,,3.1,,,3.1,105.0/106.2,101.5/101.2,96.0/73.5,0.2,,83.2,16.0,,1.3/2.2,1.0,68.0,0.0,,42.0,0.2,17255.0,
Colombia,309191.0,1.8,6301.6,7.1,32.0,60.9,15.8,19.2,65.1,9.2,58.6/81.9,136.0,115.0,46892.0,47063.0,-171.0,-12908.0,1.0,81.1,1.4,1.9,78.9/73.1,22.6/12.8,142.3/0.3,7872.0,14.4,5.9,2.1,4.4,110.7/114.6,101.3/96.0,65.0/56.0,25.5,18.7,62.3,880.0,52.7,84.1/1.8,5243.0,36.0,38.0,0.28,,0.3,4113.0,
Comoros,1082.0,3.4,1329.9,30.8,12.6,56.5,54.6,15.5,30.0,4.3,37.6/50.8,104.0,109.0,17.0,150.0,-133.0,-41.0,2.4,29.2,2.7,4.6,64.5/61.2,39.3/5.0,12.6/1.5,,58.1,7.6,0.2,4.3,97.2/101.6,57.2/53.9,8.0/9.9,7.7,6.1,8.5,121.0,19.7,0.2/0.2,3.0,7.0,10.4,10.2,,,28.0,
Congo,11292.0,-3.1,2146.5,7.5,47.9,44.6,37.1,25.9,37.1,11.5,66.8/71.4,119.0,138.0,4451.0,2117.0,2334.0,-3594.0,2.6,67.4,3.3,4.7,62.7/60.5,41.5/4.4,398.9/7.6,220.4,41.4,4.6,0.1,4.6,107.8/100.6,48.4/55.8,8.0/10.6,9.3,11.3,8.6,140.0,65.4,3.1/0.7,619.0,22.0,72.1,1.36,,,192.0,
Cook Islands,309.0,1.9,17797.6,6.1,8.6,85.3,4.3,11.7,84.0,8.2,65.4/76.6,111.0,91.0,15.0,137.0,-122.0,,-1.2,75.3,-0.9,2.6,79.6/71.7,26.9/14.2,4.2/24.2,,3.6,3.4,1.4,4.7,105.2/111.7,90.1/84.9,50.1/41.2,3.5,,54.0,75.0,62.9,0.1/3.4,0.0,51.0,22.4,,,,161.0,
Costa Rica,57565.0,3.2,11734.1,5.8,20.1,74.0,11.2,18.5,70.3,7.9,45.9/74.4,126.0,129.0,11915.0,17144.0,-5230.0,-1878.0,1.1,80.1,2.5,1.9,81.7/76.7,21.1/14.5,414.2/8.4,18.1,9.3,7.6,1.1,7.4,110.3/109.7,129.5/122.8,62.2/49.3,11.9,45.6,71.6,350.0,54.6,7.8/1.6,109.0,44.0,45.3,0.18,,0.6,2960.0,
Côte d’Ivoire,38055.0,7.7,1566.4,23.7,27.1,49.2,46.5,6.3,47.2,2.6,48.3/65.9,113.0,127.0,11923.0,10999.0,925.0,-1047.0,2.5,51.2,3.4,5.0,55.9/53.5,41.7/4.7,2197.2/9.0,694.8,67.5,4.4,0.2,4.4,94.0/103.6,42.6/56.8,7.5/10.8,11.6,11.0,43.8,259.0,32.7,11.0/0.5,561.0,22.0,79.1,2.12,140.0,,1800.0,
Croatia,55201.0,2.9,13176.5,3.7,26.2,70.1,7.1,26.6,66.2,8.4,45.6/57.9,109.0,121.0,17720.0,30812.0,-13092.0,1459.0,-0.4,57.2,-0.1,1.5,80.6/74.2,14.6/27.9,560.5/13.4,9.3,4.3,7.2,3.0,4.6,95.8/95.0,100.0/95.6,78.5/57.0,1.0,20.5,67.1,182.0,34.4,16.8/4.0,185.0,84.0,72.0,,92.0,0.9,15593.0,
Cuba,96851.0,1.8,8433.1,3.8,24.6,71.6,18.2,16.5,65.3,2.6,39.8/67.3,,103.0,1197.0,8543.0,-7346.0,,0.2,77.1,0.3,1.7,80.4/76.5,16.0/20.7,13.1/0.1,0.3,4.8,12.2,8.2,,99.2/104.4,105.7/103.0,51.2/30.1,5.0,53.2,49.1,348.0,31.3,34.8/3.0,192.0,38.0,73.4,0.13,,0.3,4594.0,
Curaçao,3122.0,-1.7,19591.3,0.4,20.1,79.5,,,,13.0,... / ...,113.0,,,,,-899.0,1.4,89.1,1.2,2.1,80.7/74.5,18.5/23.9,38.4/23.9,0.8,10.3,,,4.9,169.2/176.3,91.1/84.1,29.6/13.0,,,61.9,52.0,,5.9/37.8,1.0,503.0,40.4,,,,399.0,
Cyprus,22054.0,4.2,25789.8,2.1,13.1,84.7,3.4,16.8,79.8,9.9,57.2/66.9,102.0,79.0,5065.0,10740.0,-5675.0,-1685.0,0.9,66.8,0.7,1.4,82.2/77.7,16.7/19.3,189.0/16.0,23.4,4.2,6.9,2.0,6.4,99.3/99.3,99.4/100.1,69.4/51.1,1.1,17.9,80.7,81.0,18.7,6.1/5.2,5.0,78.0,57.8,,72.0,0.5,3652.0,0.09
Czechia,215825.0,4.3,20325.7,2.3,37.0,60.7,2.7,37.1,60.2,2.0,52.3/68.1,113.0,100.0,17169.0,15670.0,1499.0,860.0,0.1,73.9,0.2,1.5,81.2/75.1,15.7/25.9,433.3/4.1,5.9,2.5,7.1,4.3,5.8,100.5/100.0,105.1/104.2,74.8/53.2,0.6,22.5,78.7,75.0,34.6,96.5/9.2,1143.0,164.0,92.3,,122.0,1.7,12808.0,0.15
Dem. People's Rep. Korea,17365.0,-3.5,684.6,22.8,45.5,31.7,66.9,17.5,15.6,4.7,74.2/87.2,,102.0,1056.0,3092.0,-2036.0,,0.5,62.1,0.8,1.9,74.1/67.2,20.0/14.6,48.9/0.2,,18.5,,3.7,,88.1/88.1,93.5/92.4,20.0/35.4,4.4,16.3,0.0,83.0,40.7,40.5/1.6,891.0,15.0,10.2,,,,,
Dem. Rep. of the Congo,37642.0,3.7,462.8,20.8,43.5,35.6,82.0,11.0,7.0,3.7,60.5/66.3,134.0,109.0,3951.0,5401.0,-1450.0,-2169.0,3.3,45.0,4.6,6.4,59.5/56.7,46.0/4.7,879.2/1.1,5237.8,73.1,3.9,0.1,1.5,107.6/108.4,36.0/56.3,4.7/8.5,13.5,10.3,8.6,394.0,67.2,4.7/0.1,1256.0,16.0,40.1,6.28,,,351.0,
Denmark,329866.0,2.3,57532.5,1.6,23.1,75.2,2.5,18.5,79.0,5.3,58.0/65.8,110.0,101.0,107633.0,101114.0,6520.0,19977.0,0.5,88.0,0.6,1.7,82.2/78.1,16.4/25.8,656.8/11.5,47.5,3.5,10.4,4.5,7.6,101.2/102.4,131.0/127.3,94.0/68.8,1.0,37.4,97.1,52.0,14.7,33.5/5.9,624.0,120.0,89.7,,89.0,2.9,11743.0,0.74
Djibouti,1845.0,4.1,1927.6,2.8,19.9,77.3,28.3,30.2,41.5,5.8,54.9/71.1,116.0,133.0,140.0,1212.0,-1072.0,-294.0,1.7,77.9,1.8,3.1,63.2/60.0,29.2/7.2,116.1/12.1,27.5,55.7,3.5,0.2,,60.8/69.3,43.2/51.4,4.0/6.0,6.5,26.2,55.7,108.0,0.2,0.7/0.8,4.0,12.0,0.9,7.33,,,63.0,
Dominica,497.0,-9.5,6719.3,16.4,12.1,71.4,,,,,... / ...,103.0,113.0,18.0,275.0,-257.0,202.0,0.5,70.8,0.9,,... / ...,... / ...,6.8/9.2,,,5.3,1.1,3.4,110.5/114.1,99.8/101.2,,8.4,25.0,69.6,70.0,57.4,0.1/1.9,0.0,37.0,44.3,3.52,,,72.0,
Dominican Republic,75932.0,4.6,7052.3,6.1,29.2,64.6,11.4,17.7,71.0,5.5,51.0/77.6,133.0,145.0,9178.0,22481.0,-13303.0,-1160.0,1.2,81.8,2.5,2.4,75.9/69.6,27.7/10.8,425.0/3.9,27.3,27.5,6.2,1.6,,104.0/111.5,83.0/76.5,77.0/43.0,15.2,26.8,65.0,199.0,41.7,21.5/2.1,18.0,32.0,76.2,0.16,129.0,,6188.0,
